Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
68,ROLANDS SMITS,FCB,41,8,15:55,5.5,1.6,2.5,65.7%,0.5,1.2,39.6%,0.8,1,76.7%,1,2.2,3.2,0.6,0.4,1,0.2,0.2,2.2,1.3,6
69,OGNJEN KUZMIC,CZV,32,25,13:55,3.8,1.5,2.8,54.4%,0,0,0%,0.8,1.2,64.1%,1.8,2.2,3.9,0.2,0.3,0.5,0.3,0.2,1.2,1,6.1
70,USMAN GARUBA,RMB,39,20,16:17,3.9,1.3,2,62.8%,0.3,1.1,26.8%,0.6,0.9,59.5%,1.3,2.8,4,0.7,0.6,1.2,0.7,0.1,1.7,1,6.1
71,LUIGI DATOME,AXM,37,7,16:29,7.1,1.2,2.6,45.8%,1.2,2.4,51.1%,0.9,1.1,89.7%,0.5,2.2,2.8,0.8,0.2,0.5,0.1,0.1,1.9,0.8,6.4
72,VIACHESLAV ZAITCEV,KHI,34,26,19:28,5.1,1.6,3.1,51%,0.4,1.2,32.5%,0.9,1.1,81.1%,0.4,2,2.4,2.4,1.3,1.6,0.4,0.4,2.5,1.7,6.4
73,DRAGAN BENDER,MTA,34,16,19:07,6.6,1.5,2.5,60.5%,0.9,2.5,34.5%,1,1.3,75.6%,0.8,3,3.8,0.7,0.4,1.1,0.5,0.3,2.4,1.2,6.7
74,ROKAS JOKUBAITIS,ZAL,31,5,20:55,7,2.1,4.3,47.8%,0.6,1.6,38.8%,1,1.3,75.6%,0.4,1.3,1.7,2.5,0.5,1.5,0,0.2,1.6,2,6.8
75,ZORAN DRAGIC,TDS,33,3,17:58,8.5,2.1,4,51.1%,0.8,2.7,28.4%,2.1,2.7,78.7%,0.6,0.9,1.6,0.9,0.6,1.2,0,0.6,1.3,2.8,6.8
76,OGNJEN DOBRIC,CZV,32,7,18:37,8.2,1,2.6,39.8%,1.6,3.6,45.6%,1.3,1.5,85.7%,0.5,1.5,2,0.8,0.9,1.1,0,0.2,1.4,1.5,7
77,LIVIO JEAN-CHARLES,OLY,29,11,17:31,6.3,2.3,3.5,66.7%,0.3,1.1,27.3%,0.7,0.8,87.5%,1.4,1.8,3.2,0.5,0.6,1.2,0.7,0.2,2.1,1.3,7.1
