Rank,Player Name,Team,Games Played,Games Started,Minutes,Points,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,TR,AST,STL,TO,BLK,BLKA,FC,FD,PIR
13,YAKUBA OUATTARA,PBB,35,17,14:51,4.5,0.9,1.7,49.2%,0.8,2.6,30.4%,0.4,0.4,100%,0.7,1.1,1.8,0.3,0.4,0.5,0.1,0.2,1.3,0.3,2.6
14,ELIAS RAPIEQUE,BER,27,4,15:03,4.2,1.5,2.7,54.1%,0.2,1.3,16.7%,0.6,1,55.6%,1,1.1,2.1,1.3,0.6,1,0,0.3,2.4,1,2.6
15,MATTHEW MITCHELL,ZAL,29,4,14:22,3.2,0.9,2.1,44.3%,0.2,1.2,16.7%,0.8,1,75.9%,0.7,1.7,2.3,0.9,0.3,0.8,0,0.3,1.9,1.3,2.7
16,MELVIN AJINCA,ASV,27,11,14:25,5.4,0.6,1.2,50%,1.3,3,42.7%,0.4,0.4,90.9%,0.3,0.9,1.2,0.3,0.1,0.6,0,0.2,1.7,0.5,2.7
17,GUGLIELMO CARUSO,EA7,22,1,7:46,2.6,1.1,1.5,75.8%,0,0,0%,0.4,0.5,66.7%,0.9,0.6,1.5,0.3,0.2,0.4,0.5,0.2,1.8,0.6,2.7
18,RAYJON TUCKER,VIR,23,8,9:50,3.4,0.7,1.6,44.4%,0.3,1.2,29.6%,1,1.2,85.2%,0.3,0.7,1,0.3,0.4,0.8,0,0.2,1.1,1.6,2.9
19,DANIEL HACKETT,VIR,31,9,15:31,2.5,0.4,1.1,38.2%,0.4,1.2,36.1%,0.4,0.5,85.7%,0.3,1.7,2,1.7,0.4,0.9,0,0,2.4,1.2,2.9
20,DAVID LIGHTY,ASV,33,22,19:26,4.4,0.7,1.7,43.6%,0.8,2.1,40.6%,0.4,0.5,77.8%,0.3,1.5,1.8,1,0.5,0.6,0.1,0.1,2.5,0.9,3.2
21,TARIK BLACK,ASV,28,0,10:19,3.7,1.5,2.1,68.3%,0,0,0%,0.8,1.4,57.9%,1,1.3,2.3,0.4,0.1,1.1,0.1,0.1,2.4,1.3,3.2
22,GIAMPAOLO RICCI,EA7,32,15,15:06,3.6,0.5,0.7,65.2%,0.8,1.8,44.8%,0.2,0.2,100%,0.6,1.9,2.5,0.4,0.4,0.4,0.2,0,2.5,0.3,3.2
